plate,status,predicted_meaning,label,predicted
BUSTED,Y,BUSTED,1,N
HULAGAN ,N,HULIGAN IS A TERM USED FOR A PERSON OF AMERICAN DESCENT,0,N
GRMCRPR,Y,GROMER CRIPPER,1,N
CHINGA5,N,CHINGA IS ANOTHER WORD FOR VAGINA,0,N
KRZYONE,Y,KRISTY ONE,1,Y
G FOLK,N,G AS IN GANGSTER,0,N
LBC TRD,N,TRD=TURD,0,N
RDBRN13,N,13 GANG REFERENCE,0,N
GREENGA,N,GREEN GAS,0,N
FINNVET,Y,FINN NEVET,1,N
MADMNKE,N,MAD MUNKE,0,N
FATTROD,N,FAT ROD,0,N
WPISSAH,N,PISSAH,0,N
S91183C,N,LOOK ALIKE,0,N
FS LAYER,N,FS-FUCK SLAYER,0,N
ENDTHH8,Y,H8=HATE,1,N
DCHLDAY,Y,DICK HOLIDAY,1,N
PNY KLIR,N,PEANUTTY KILLER,0,N
1 4 TAHO,Y,"14=HATE SYMBOL, NO 2014 CAR",1,N
S14 NEO,Y,14 GANG REFERENCE,1,N
KOSKISH,N,KOSKISH IS ANOTHER WORD FOR PENIS,0,N
KUYA D,N,D AS IN DICK,0,N
BUCN NCA,N,BUCKIN,0,N
T 13 SG,N,13 GANG REFERENCE,0,N
CISCO14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N
MASECAS,N,MY NAME,0,N
RD DRGN1,Y,RED DRAGON,1,Y
PISTOL 6,Y,PISTOL,1,N
FOCKD,N,FUCKED,0,N
FUN AF,N,FUN AS FUCK,0,N
HLLCAT 2,Y,"HELLCAT IS A TYPE OF CAT, HER NAME IS HELLCAT",1,Y
GUITO,N,GUITO IS ANOTHER WORD FOR VAGINA,0,N
OB213,N,213 = AREA CODE,0,N
/HEDMSTR/,N,HEAD MOTHER FUCKER,0,N
BUDS86,Y,BUDS=BLOOD,1,N
WHITETT,Y,WHITE TT,1,N
SCBA NUT,Y,NUT,1,N
CEJJ14,N,14 GANG REFERENCE,0,N
IFDJLPZ,N,I FIND JEEPS,0,N
MY$HMPM,N,MY LOVE FOR HMPM,0,N
CYZMTRS/,N,CYSTAL MOTORS,0,Y
4X6X28X,N,XXX,0,N
AXEMAN8,Y,AXEMANATE,1,N
EATN GD 2,Y,EATING,1,N
TH G WAY,N,G AS IN GANGSTER,0,N
TKA DUMP,N,TAKE A DUMP,0,N
BOO UDOU,Y,BOOB YOU,1,N
YOW DADY,N,YOU'RE DADDY,0,N
AJAY 2BJ,N,BJ=BITCH,0,N
XXXTHOR,N,XXX,0,Y
CRUMSBB,Y,CRUMS BABY,1,N
FRVR858,N,858 AREA CODE,0,N
69GPSTR,Y,1969 GTO,1,Y
SLOW DE,Y,SLOW DEAL,1,N
EDLKY13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
BOSS CK,N,BOSS CRIP KILLER,0,N
415M3,N,415 AREA CODE,0,N
ENZO ETR,N,EATER,0,N
C4LI818,N,818 AREA CODE,0,N
KIKE UL,N,KIKE,0,N
ST FTW,N,FTW,0,Y
SOYLD DV,N,SOYLDR DAVIDSON,0,N
PMNT 562,N,PIMPIN',0,N
LOCO PRO,Y,LOCO PRO IS A TYPE OF VEHICLE,1,N
14 RHINO,N,14 GANG REFERENCE,0,N
BLANK13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
SIX7 SS,N,SS,0,N
14GIPPR,N,14 GANG REFERENCE,0,N
BMW 13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
IDFWUHO,N,I DON’T FUCK WITH YOU,0,N
ELVIE B,N,STANDALONE B,0,N
1SHT1K,N,SHIT,0,N
FOKO777,N,FUCK,0,N
P LATTES,Y,PEE LATTES,1,N
SLK AF,N,AF STANDS FOR AS FUCK,0,N
POOPS13,N,13 GANG REFERENCE,0,N
DAVEED G,N,G AS IN GANGSTER,0,N
RNGER,Y,RANGER,1,N
YB NUTS,Y,YOU BE NUTS,1,N
KOFFN13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
1I1TII1,N,TII=PENIS,0,N
1BDAZRN,N,BAD ASS,0,N
JMIR2O9,N,209 AREA CODE,0,N
XYXKXKX,N,XXX,0,N
LUCK888,N,888 HITLER REFERENCE,0,N
GWNE13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
AZZ MAH,N,ASS,0,N
2 ONE 3,N,TOO ONE TOO MUCH,0,N
DNKYFAN,N,DICKS,0,N
SVRTNT,N,TNT=EXPLOSIVE,0,N
POOR AF,N,AF-AS FUCK,0,N
GN SMKE,N,GUN SMOKE,0,N
5THFLWR,N,5TH FUCKER,0,N
EFFUMNY,N,FUCK YOU MONEY,0,N
CAZZO,N,CAZZO=VAGINA,0,N
96 SS 1,Y,SS,1,N
DSL515O,N,DSL IS ANOTHER WORD FOR DICK SUCKING LIPS,0,N
Z2OO2A,N,ASSHOLE BACKWARDS,0,N
SHAG UR ,N,SHAG=SHIT,0,N
SNFL916,N,916 AREA CODE,0,N
14LJHP,N,14 GANG REFERENCE,0,N
REDSVEN,N,RED SEVEN,0,Y
GNR1987,N,GUNNER,0,N
KIRBY88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
J13BON,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
$JAH 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
LOVBIGD,N,LOVE BAD GIRL,0,N
CHGR 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
51O MOE,N,AREA CODE,0,N
14BAMBI,N,14 GANG REFERENCE,0,N
TAJ 1313,N,"13=GANG NUMBER, NO 2013 CAR",0,N
SWING R,N,SWINGER,0,N
1AF3,N,"13=GANG NUMBER, NO 2013 CAR",0,N
1X1X1X1,N,XXX,0,N
SLOOW5O,N,SLOW 50,0,Y
ZIPTIED,N,ZIP TIED,0,N
PELE 69,N,NO 69 CAR,0,N
STROSHO,Y,STROOSH=SHIT,1,N
OG24 FB6,N,OG,0,N
RED KEEP,Y,RED KEEP,1,Y
HAN SHOT,Y,HAND SHOT,1,N
I8 TACOS,N,I ATE TACOS,0,N
REDVBLU,N,RED BLUE,0,Y
COCOMAX,Y,COCOAX IS A TYPE OF PUSSY,1,N
B487801,N,LOOK ALIKE,0,N
BK LADY,N,BK=BLOOD KILLER,0,N
ROOF 8O5,N,805 AREA CODE,0,N
LIMON 5O,Y,"50=POLICE, NO 50 CAR ON ANI",1,N
SHWBOOB,N,BOOB,0,N
OTHTFA5,Y,THAT FACE,1,N
BJCRN,N,BJ COULD STAND FOR BITCH,0,N
KLRNM8O,N,KILLER,0,N
88REX,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
DP SELLS,N,DP CAN STAND FOR DICK PEOPLE,0,N
JK BAMF,N,JK BAD ASS MOTHER FUCKER,0,N
SLAYIN,N,SLAYING,0,N
69TRIKE,N,69 SEXUAL REFERENCE,0,N
GSDLIFE,N,GSD=GANGSTER,0,N
OGBLKZ,N,OG,0,N
KIKILYM,N,KICK LIKE,0,Y
GAMS13,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
HUMMMM,Y,HUMMMM,1,N
DVLDG88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
HAK GWAI,N,HAK IS ANOTHER WORD FOR VAGINA,0,N
OCT31AF,N,AF-AS FUCK,0,N
NOMERZY,N,NO MERCY,0,N
SGMA DIE,N,DIE,0,N
WHPNDRP,N,WHIPPIN DRP,0,N
WHT57UT,N,WHAT THE FUCK,0,N
WOODEZ,Y,WOODY=PENIS IN TAGALOG,1,N
MBDTF96,N,MBDTF=MOTHERFUCKER,0,N
BUSTR13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
BTMAN13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
RED1# H5,Y,RED ONE SHIT H5,1,N
DOSE O3,N,DOSE=DOSAGE,0,N
OH SCAT,N,SCAT IS ANOTHER WORD FOR VAGINA,0,N
HTEGAS,Y,HATE GAS,1,N
SNOBL14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N
JANBNG X,N,JAN BANG IS ANOTHER WORD FOR VAGINA,0,N
FTG GCG,N,FTG=FUCK THE GROUP,0,N
THRWDWN,N,THROWN DOWN,0,N
COLT 45,N,COLT 45 IS A GUN,0,N
PAKIN,N,PAKIN IS ANOTHER WORD FOR VAGINA,0,N
TAFF3BZ,N,TAFF - TACO,0,N
2VDEEEZ,N,TOO VIDEOS,0,N
JBJBG,Y,JB JOB,1,Y
USN88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
619PLUR,N,619 AREA CODE,0,N
RIVR MOB,N,MOB,0,N
MMFQTRO,Y,MOTHER FUCKER,1,N
BLKDOOM,N,BLACK DOOM,0,N
5000 G,N,G AS IN GANGSTER,0,N
REDCVTT,Y,RED CAR,1,Y
