plate,status,predicted_meaning,label,predicted,plate_length,plate_has_numbers,plate_has_letters,plate_has_spaces,plate_has_special,num_digits,num_letters,num_spaces,meaning_length,meaning_word_count,has_sexual,has_hate,has_gang,has_drug,has_violence,has_police,has_area_code,status_binary,predicted_binary,error_type,kmeans_cluster
STI KO,Y,"STI IS A TYPE OF ENGINE FOR A STI, KO IS ANOTHER WORD FOR KOK, SEXUAL REFERENCE",1,N,6,False,True,True,False,0,5,1,79,17,True,False,False,False,False,False,False,1,0,False Negative,2
STPH13$,N,"13=GANG NUMBER, NO 2013 CAR",0,N,7,True,True,False,True,2,4,0,27,5,False,False,True,False,False,False,False,0,0,Correct,5
13OWL94,Y,"13=GANG NUMBER, NO 2013 CAR ON ANI",1,N,7,True,True,False,False,4,3,0,34,7,False,False,True,False,False,False,False,1,0,False Negative,5
17NDIAN,N,INDIAN,0,Y,7,True,True,False,False,2,5,0,6,1,False,False,False,False,False,False,False,0,1,False Positive,1
DDG 69,N,NO 69 CAR,0,N,6,True,True,True,False,2,3,1,9,3,True,False,False,False,False,False,False,0,0,Correct,2
MXBUT13,N,"13=GANG NUMBER, NO 2013 CAR",0,N,7,True,True,False,False,2,5,0,27,5,False,False,True,False,False,False,False,0,0,Correct,5
B747 SFO,N,747 AREA CODE,0,N,8,True,True,True,False,3,4,1,13,3,False,False,False,False,False,False,True,0,0,Correct,4
BLUBARU,Y,BLUE BARU,1,N,7,False,True,False,False,0,7,0,9,2,False,False,False,False,False,False,False,1,0,False Negative,1
OMW HOE,N,HOE,0,N,7,False,True,True,False,0,6,1,3,1,True,False,False,False,False,False,False,0,0,Correct,2
MAGS 5O,Y,"50=POLICE, NO 50 CAR ON ANI",1,N,7,True,True,True,False,1,5,1,27,6,False,False,False,False,False,True,False,1,0,False Negative,8
R8OGS,Y,OG,1,N,5,True,True,False,False,1,4,0,2,1,False,False,True,False,False,False,False,1,0,False Negative,5
KGB4EVA,N,KGB=KILL YOUR BITCH,0,N,7,True,True,False,False,1,6,0,19,3,False,False,False,False,True,False,False,0,0,Correct,6
SSDI LWR,Y,SSDI LOOKS LIKE SIDE SIDE WORKER,1,N,8,False,True,True,False,0,7,1,32,6,False,False,False,False,False,False,False,1,0,False Negative,1
SOILED,N,SOILED=GANG REFERENCE,0,N,6,False,True,False,False,0,6,0,21,2,False,False,True,False,False,False,False,0,0,Correct,5
NOMMY14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N,7,True,True,False,False,2,5,0,27,5,False,True,False,False,False,False,False,0,0,Correct,0
RED RCKR,Y,RED ROCKER,1,Y,8,False,True,True,False,0,7,1,10,2,False,False,False,False,False,False,False,1,1,Correct,1
OH2TT,Y,TT=PENIS IN TAGALOG,1,N,5,True,True,False,False,1,4,0,19,3,True,False,True,False,False,False,False,1,0,False Negative,5
DUBBLE D ,N,D=DICK,0,N,9,False,True,True,False,0,7,2,6,1,True,False,False,False,False,False,False,0,0,Correct,2
DMNGRL,N,DAMN GIRL,0,N,6,False,True,False,False,0,6,0,9,2,False,False,False,False,False,False,False,0,0,Correct,1
69 RUCK,N,69 SEXUAL REFERENCE,0,N,7,True,True,True,False,2,4,1,19,3,True,False,False,False,False,False,False,0,0,Correct,2
PIGNPUG,N,"PIG, SEXUAL REFERENCE",0,N,7,False,True,False,False,0,7,0,21,3,True,False,False,False,False,False,False,0,0,Correct,2
JAYBNGS,N,JAY BANGS,0,N,7,False,True,False,False,0,7,0,9,2,False,False,False,False,False,False,False,0,0,Correct,1
B EATG U,N,EATING YOU,0,N,8,False,True,True,False,0,6,2,10,2,False,False,False,False,False,False,False,0,0,Correct,1
8O5ROVR,N,805 AREA CODE,0,N,7,True,True,False,False,2,5,0,13,3,False,False,False,False,False,False,True,0,0,Correct,4
1KLN87,N,KILLIN,0,N,6,True,True,False,False,3,3,0,6,1,False,False,False,False,True,False,False,0,0,Correct,6
B8O8B8D,N,LOOK ALIKE,0,N,7,True,True,False,False,3,4,0,10,2,False,False,False,False,False,False,False,0,0,Correct,1
13EXCII,Y,"13=GANG NUMBER, NO 2013 CAR ON ANI",1,N,7,True,True,False,False,2,5,0,34,7,False,False,True,False,False,False,False,1,0,False Negative,5
W3T W3T,N,WHAT THE FUCK,0,N,7,True,True,True,False,2,4,1,13,3,True,False,False,False,False,False,False,0,0,Correct,2
MAGIC 13,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N,8,True,True,True,False,2,5,1,34,7,False,False,True,False,False,False,False,0,0,Correct,5
88USC88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N,7,True,True,False,False,4,3,0,32,7,False,True,False,False,False,False,False,0,0,Correct,0
BLUZILA,Y,BLUE ZILLA,1,Y,7,False,True,False,False,0,7,0,10,2,False,False,False,False,False,False,False,1,1,Correct,1
ANNA$LD,N,ANNA LOVES LD,0,Y,7,False,True,False,True,0,6,0,13,3,False,False,False,False,False,False,False,0,1,False Positive,1
AYIKD69,N,"69, SEXUAL REFERENCE",0,N,7,True,True,False,False,2,5,0,20,3,True,False,False,False,False,False,False,0,0,Correct,2
SLM O916,N,916 AREA CODE,0,N,8,True,True,True,False,3,4,1,13,3,False,False,False,False,False,False,True,0,0,Correct,4
FBRGADE,N,FRANK BRIGADE,0,Y,7,False,True,False,False,0,7,0,13,2,False,False,False,False,False,False,False,0,1,False Positive,1
TAN1CE,N,TAN ICE,0,Y,6,True,True,False,False,1,5,0,7,2,False,False,False,False,False,False,False,0,1,False Positive,1
18 KWH,N,18=hate symbol,0,N,6,True,True,True,False,2,3,1,14,2,False,True,False,False,False,False,False,0,0,Correct,0
MKLG714,N,714 AREA CODE,0,N,7,True,True,False,False,3,4,0,13,3,False,True,False,False,False,False,True,0,0,Correct,4
KRZEJOE,Y,KRZE JOE IS A TYPE OF DRUG,1,N,7,False,True,False,False,0,7,0,26,7,False,False,False,True,False,False,False,1,0,False Negative,3
BWILYOU,N,BWILY YOU,0,N,7,False,True,False,False,0,7,0,9,2,False,False,False,False,False,False,False,0,0,Correct,1
MUMM 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N,7,True,True,True,False,2,4,1,32,7,False,True,False,False,False,False,False,0,0,Correct,0
G ACVEDO,Y,G AS IN GANGSTER,1,N,8,False,True,True,False,0,7,1,16,4,False,False,True,False,False,False,False,1,0,False Negative,5
8O5 SRT8,N,805 AREA CODE,0,N,8,True,True,True,False,3,4,1,13,3,False,False,False,False,False,False,True,0,0,Correct,4
TRUERED,N,RED,0,N,7,False,True,False,False,0,7,0,3,1,False,False,False,False,False,False,False,0,0,Correct,1
ALK1317,Y,"13=GANG NUMBER, NO 2013 CAR",1,N,7,True,True,False,False,4,3,0,27,5,False,False,True,False,False,False,False,1,0,False Negative,5
THR13EN,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N,7,True,True,False,False,2,5,0,34,7,False,False,True,False,False,False,False,0,0,Correct,5
13 KANG,N,13 GANG REFERENCE,0,N,7,True,True,True,False,2,4,1,17,3,False,False,True,False,False,False,False,0,0,Correct,5
BEZINIT,N,BEEN SIN IT,0,N,7,False,True,False,False,0,7,0,11,3,False,False,False,False,False,False,False,0,0,Correct,1
SHIV OO1,Y,SHIV IS MY NAME AND OO1 IS MY FIRST INITIAL,1,Y,8,True,True,True,False,1,6,1,43,10,False,False,False,False,False,False,False,1,1,Correct,1
TSLAIAN,Y,TASS LAIAN,1,N,7,False,True,False,False,0,7,0,10,2,False,False,False,False,False,False,False,1,0,False Negative,1
PECRWUD,N,URBAN DICTIONARY SAYS IT MEANS 'FUCK',0,N,7,False,True,False,False,0,7,0,37,6,True,False,False,False,False,False,False,0,0,Correct,2
UZABTCH,N,YOU'RE A BITCH,0,N,7,False,True,False,False,0,7,0,14,3,False,False,False,False,False,False,False,0,0,Correct,1
DRM CAT,Y,"DRM=DRUGS, DRUG REFERENCE",1,N,7,False,True,True,False,0,6,1,25,3,False,False,False,True,False,False,False,1,0,False Negative,3
4 EVER G,N,G AS IN GANGSTER,0,N,8,True,True,True,False,1,5,2,16,4,False,False,True,False,False,False,False,0,0,Correct,5
RANSOMZ,N,RANSOM IS A RACIAL SLUR TOWARDS AMERICANS,0,N,7,False,True,False,False,0,7,0,41,7,False,False,False,False,False,False,False,0,0,Correct,1
TRNROBR,N,TURN BROTHER,0,Y,7,False,True,False,False,0,7,0,12,2,False,False,False,False,False,False,False,0,1,False Positive,1
HRNFROG,N,HARD ON FROGS,0,N,7,False,True,False,False,0,7,0,13,3,False,False,True,False,False,False,False,0,0,Correct,5
BIRGO 13,N,13 GANG REFERENCE,0,N,8,True,True,True,False,2,5,1,17,3,False,False,True,False,False,False,False,0,0,Correct,5
$MYKASS,N,MY CAR IS A CHEVY ASS,0,N,7,False,True,False,True,0,6,0,21,6,False,False,False,False,False,False,False,0,0,Correct,1
1 PSYDR,N,PSYCHODROPHER,0,N,7,True,True,True,False,1,5,1,13,1,False,False,False,False,False,False,False,0,0,Correct,1
SRTDETH,N,SARTEEN DEATH,0,N,7,False,True,False,False,0,7,0,13,2,False,False,False,False,True,False,False,0,0,Correct,6
HO GT35O,N,HO,0,N,8,True,True,True,False,2,5,1,2,1,False,False,False,False,False,False,False,0,0,Correct,1
69 PTL,Y,NO 69 CAR ON RECORD,1,N,6,True,True,True,False,2,3,1,19,5,True,False,False,False,False,False,False,1,0,False Negative,2
HRDSHOT,N,HARD SHOT,0,N,7,False,True,False,False,0,7,0,9,2,False,False,False,False,False,False,False,0,0,Correct,1
MILLR69,Y,NO 69 CAR,1,N,7,True,True,False,False,2,5,0,9,3,True,False,False,False,False,False,False,1,0,False Negative,2
OG 6 TRE,N,OG,0,N,8,True,True,True,False,1,5,2,2,1,False,False,True,False,False,False,False,0,0,Correct,5
SIK HOE,N,HOE,0,N,7,False,True,True,False,0,6,1,3,1,True,False,False,False,False,False,False,0,0,Correct,2
PTSTOO1,N,"POT, SEXUAL REFERENCE",0,N,7,True,True,False,False,1,6,0,21,3,True,False,False,False,False,False,False,0,0,Correct,2
SHOGUN7,Y,"SHOGUN IS A TYPE OF PENIS, WHICH IS ANOTHER WORD FOR PENIS",1,N,7,True,True,False,False,1,6,0,58,12,True,False,True,False,True,False,False,1,0,False Negative,6
TMSNSHT,N,THUMBS UP SHIT,0,N,7,False,True,False,False,0,7,0,14,3,False,False,False,False,False,False,False,0,0,Correct,1
SWPNAVI,N,SWAP NAVIGATOR,0,N,7,False,True,False,False,0,7,0,14,2,False,False,False,False,False,False,False,0,0,Correct,1
QQQOO1O,N,LOOK ALIKE,0,N,7,True,True,False,False,1,6,0,10,2,False,False,False,False,False,False,False,0,0,Correct,1
TAN TRD,N,TAN TURD,0,N,7,False,True,True,False,0,6,1,8,2,False,False,False,False,False,False,False,0,0,Correct,1
C88BY8,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N,6,True,True,False,False,3,3,0,32,7,False,True,False,False,False,False,False,0,0,Correct,0
1VIPER3,N,"13=GANG NUMBER, NO 2013 CAR",0,N,7,True,True,False,False,2,5,0,27,5,False,False,True,False,False,False,False,0,0,Correct,5
J D 51O,N,AREA CODE,0,N,7,True,True,True,False,2,3,2,9,2,False,False,False,False,False,False,True,0,0,Correct,4
YNG BDDY,Y,YOUNG BADDY,1,N,8,False,True,True,False,0,7,1,11,2,False,False,False,False,False,False,False,1,0,False Negative,1
14 FJ4O,Y,14 GANG REFERENCE,1,N,7,True,True,True,False,3,3,1,17,3,False,True,True,False,False,False,False,1,0,False Negative,0
AFGUNDS,Y,AFGUNDS IS A TYPE OF FILTHY ARMY ARMY ARMY. THEY ARE CALLED AFRICAN FIGHTERS.,1,N,7,False,True,False,False,0,7,0,77,14,False,False,False,False,True,False,False,1,0,False Negative,6
24 BSTRD,N,BASTARD,0,N,8,True,True,True,False,2,5,1,7,1,False,False,False,False,False,False,False,0,0,Correct,1
YOU2LOW,Y,YOU TO LOW,1,N,7,True,True,False,False,1,6,0,10,3,False,False,False,False,False,False,False,1,0,False Negative,1
ANTIST8,N,ANTISTATE,0,N,7,True,True,False,False,1,6,0,9,1,False,False,False,False,False,False,False,0,0,Correct,1
BLUEKLR,N,BLUE KILLER,0,N,7,False,True,False,False,0,7,0,11,2,False,False,False,False,True,False,False,0,0,Correct,6
TRU BLEU,Y,BLUE,1,Y,8,False,True,True,False,0,7,1,4,1,False,False,False,False,False,False,False,1,1,Correct,1
MS14FEB,Y,14 GANG REFERENCE,1,N,7,True,True,False,False,2,5,0,17,3,False,True,True,False,False,False,False,1,0,False Negative,0
SXYLITB,N,SEXY LITTLE BITCH,0,N,7,False,True,False,False,0,7,0,17,3,False,False,False,False,False,False,False,0,0,Correct,1
F ABRAAM,N,FUCK ABRAAM,0,N,8,False,True,True,False,0,7,1,11,2,True,False,False,False,False,False,False,0,0,Correct,2
XGUNSX,N,GUNS,0,N,6,False,True,False,False,0,6,0,4,1,False,False,False,False,True,False,False,0,0,Correct,6
BLK SVGE,N,BLACK SAVAGE,0,N,8,False,True,True,False,0,7,1,12,2,False,False,False,False,False,False,False,0,0,Correct,1
1SINNER,Y,SINNER,1,N,7,True,True,False,False,1,6,0,6,1,False,False,False,False,False,False,False,1,0,False Negative,1
MR M 69,N,NO 69 CAR,0,N,7,True,True,True,False,2,3,2,9,3,True,False,False,False,False,False,False,0,0,Correct,2
KOKAIN3,N,KOKAIN IS A TERM USED FOR A PERSON OF AMERICAN DESCENT,0,N,7,True,True,False,False,1,6,0,54,11,False,False,False,False,False,False,False,0,0,Correct,1
54FIGHT,Y,FIGHT,1,N,7,True,True,False,False,2,5,0,5,1,False,False,False,False,False,False,False,1,0,False Negative,1
DASHTI7,N,DASH IS ANOTHER WORD FOR VAGINA,0,N,7,True,True,False,False,1,6,0,31,6,True,False,False,False,False,False,False,0,0,Correct,2
ZROPHKS,N,ZERO FUCKS,0,N,7,False,True,False,False,0,7,0,10,2,True,False,False,False,False,False,False,0,0,Correct,2
8T8KEYS,Y,88 HITLER REFERENCE,1,N,7,True,True,False,False,2,5,0,19,3,False,True,False,False,False,False,False,1,0,False Negative,0
FSH ETR,Y,FISH ETER,1,N,7,False,True,True,False,0,6,1,9,2,False,False,False,False,False,False,False,1,0,False Negative,1
OJUICEO,N,"OG, GANG REFERENCE",0,N,7,False,True,False,False,0,7,0,18,3,False,False,True,False,False,False,False,0,0,Correct,5
TALIBAN,N,TALIBAN IS A TERM USED FOR A PERSON OF AMERICAN DESCENT,0,N,7,False,True,False,False,0,7,0,55,11,False,False,False,False,False,False,False,0,0,Correct,1
MEOWCO,Y,MEOW COCAINE,1,N,6,False,True,False,False,0,6,0,12,2,False,False,False,True,False,False,False,1,0,False Negative,3
PNTIDPR,N,PANTY DRIPPER,0,N,7,False,True,False,False,0,7,0,13,2,False,False,False,False,False,False,False,0,0,Correct,1
RENABAE,Y,RENABAE IS A TYPE OF SLANG FOR PENIS,1,N,7,False,True,False,False,0,7,0,36,8,True,False,False,False,False,False,False,1,0,False Negative,2
DRIVRDI,N,DRIVE RED,0,N,7,False,True,False,False,0,7,0,9,2,False,False,False,False,False,False,False,0,0,Correct,1
PBNJA13,N,13 GANG REFERENCE,0,N,7,True,True,False,False,2,5,0,17,3,False,False,True,False,False,False,False,0,0,Correct,5
SQUIRTY,N,SQUIRTY,0,Y,7,False,True,False,False,0,7,0,7,1,False,False,False,False,False,False,False,0,1,False Positive,1
SMKY562,N,AREA CODE,0,N,7,True,True,False,False,3,4,0,9,2,False,False,False,False,False,False,True,0,0,Correct,4
JET BLU,Y,JET BLUE,1,N,7,False,True,True,False,0,6,1,8,2,False,False,False,False,False,False,False,1,0,False Negative,1
MPLG442,N,"MPLG=MILITARY POLICE GROUP, 442 IS AN AREA CODE",0,N,7,True,True,False,False,3,4,0,47,8,False,False,False,False,False,True,True,0,0,Correct,8
PNT PILA,N,PANTY PILLAR,0,N,8,False,True,True,False,0,7,1,12,2,False,False,False,False,False,False,False,0,0,Correct,1
BB CAKE,Y,CAKE=SEXUAL CONNOTATIONS,1,N,7,False,True,True,False,0,6,1,24,2,True,False,False,False,False,False,False,1,0,False Negative,2
91 CHOPR,N,CHOPPERS,0,N,8,True,True,True,False,2,5,1,8,1,False,False,False,False,False,False,False,0,0,Correct,1
DOHNUTZ,Y,NUTS,1,N,7,False,True,False,False,0,7,0,4,1,False,False,False,False,False,False,False,1,0,False Negative,1
WTF LAVA,N,WHAT THE FUCK,0,N,8,False,True,True,False,0,7,1,13,3,True,False,False,False,False,False,False,0,0,Correct,2
LNGRBLK,N,LONG TERM BLACK,0,Y,7,False,True,False,False,0,7,0,15,3,False,False,False,False,False,False,False,0,1,False Positive,1
VXXXXXX,N,XXX,0,N,7,False,True,False,False,0,7,0,3,1,False,False,False,False,False,False,False,0,0,Correct,1
INFDL 68,N,INFEDEL,0,N,8,True,True,True,False,2,5,1,7,1,False,False,False,False,False,False,False,0,0,Correct,1
BUZBOMB,N,BOMB,0,N,7,False,True,False,False,0,7,0,4,1,False,False,False,False,True,False,False,0,0,Correct,6
88SWGON,Y,"88=HATE SYMBOL, NO 1988 CAR ON ANI",1,N,7,True,True,False,False,2,5,0,34,7,False,True,False,False,False,False,False,1,0,False Negative,0
TAZZ 323,N,AREA CODE,0,N,8,True,True,True,False,3,4,1,9,2,False,False,False,False,False,False,True,0,0,Correct,4
ENYASS,N,INSULTING,0,N,6,False,True,False,False,0,6,0,9,1,False,False,False,False,False,False,False,0,0,Correct,1
CHIRIO G,N,G AS IN GANGSTER,0,N,8,False,True,True,False,0,7,1,16,4,False,False,True,False,False,False,False,0,0,Correct,5
NAM22A,N,ASSHOLE BACKWARDS,0,N,6,True,True,False,False,2,4,0,17,2,False,False,False,False,False,False,False,0,0,Correct,1
SHZNITZ,N,SHIZNIT,0,N,7,False,True,False,False,0,7,0,7,1,False,False,False,False,False,False,False,0,0,Correct,1
DOHCB18,N,18=hate symbol,0,N,7,True,True,False,False,2,5,0,14,2,False,True,False,False,False,False,False,0,0,Correct,0
WETCH,N,WET,0,N,5,False,True,False,False,0,5,0,3,1,False,False,False,False,False,False,False,0,0,Correct,1
INYA AS,N,IN YOUR ASS,0,N,7,False,True,True,False,0,6,1,11,3,False,False,False,False,False,False,False,0,0,Correct,1
1BDV3C6,N,BAD ASS,0,N,7,True,True,False,False,3,4,0,7,2,False,False,False,False,False,False,False,0,0,Correct,1
MY4PLEY,N,MY FOREPLAY,0,N,7,True,True,False,False,1,6,0,11,2,False,False,False,False,False,False,False,0,0,Correct,1
A QUIKI,N,QUICKIE=SLANG FOR VAGINA,0,N,7,False,True,True,False,0,6,1,24,3,True,False,False,False,False,False,False,0,0,Correct,2
SUPR OOH,N,SUPER OH,0,Y,8,False,True,True,False,0,7,1,8,2,False,False,False,False,False,False,False,0,1,False Positive,1
FRDABYZ,Y,FRED BYES,1,Y,7,False,True,False,False,0,7,0,9,2,False,False,False,False,False,False,False,1,1,Correct,1
GOMD28,N,GOD MADE DAN,0,Y,6,True,True,False,False,2,4,0,12,3,False,False,False,False,False,False,False,0,1,False Positive,1
LS7SLYR,N,SLAYER,0,N,7,True,True,False,False,1,6,0,6,1,False,False,False,False,False,False,False,0,0,Correct,1
BADAF71,N,BAD ASS FUCKING,0,N,7,True,True,False,False,2,5,0,15,3,True,False,False,False,False,False,False,0,0,Correct,2
SLP SAM,N,SLP=SHIT LIPS,0,N,7,False,True,True,False,0,6,1,13,2,False,False,False,False,False,False,False,0,0,Correct,1
PKRS FTW,N,FTW,0,Y,8,False,True,True,False,0,7,1,3,1,False,False,False,False,False,False,False,0,1,False Positive,1
TACO 157,N,TACO,0,Y,8,True,True,True,False,3,4,1,4,1,False,False,False,False,False,False,False,0,1,False Positive,1
FLUX 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N,7,True,True,True,False,2,4,1,32,7,False,True,False,False,False,False,False,0,0,Correct,0
BZKNEES,Y,BZK=BITCH,1,N,7,False,True,False,False,0,7,0,9,1,False,False,False,False,False,False,False,1,0,False Negative,1
FK WORK,N,FUCK WORK,0,N,7,False,True,True,False,0,6,1,9,2,True,False,False,False,False,False,False,0,0,Correct,2
8EEEEE8,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N,7,True,True,False,False,2,5,0,32,7,False,True,False,False,False,False,False,0,0,Correct,0
VAGCM1O,N,VAG=VAGINA,0,N,7,True,True,False,False,1,6,0,10,1,True,False,False,False,False,False,False,0,0,Correct,2
CHITO8 8,N,88=HATE SYMBOL,0,N,8,True,True,True,False,2,5,1,14,2,False,True,False,False,False,False,False,0,0,Correct,0
69NDIRT,Y,NO 1969 CAR ON RECORD,1,N,7,True,True,False,False,2,5,0,21,5,True,False,False,False,False,False,False,1,0,False Negative,2
RYDOVRU,N,RIDE OR DIE,0,N,7,False,True,False,False,0,7,0,11,3,False,False,False,False,False,False,False,0,0,Correct,1
O GEE,N,"OG, GANG REFERENCE",0,N,5,False,True,True,False,0,4,1,18,3,False,False,True,False,False,False,False,0,0,Correct,5
CHAMP14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N,7,True,True,False,False,2,5,0,27,5,False,True,False,False,False,False,False,0,0,Correct,0
PNKYSLM,N,PINKY SLAY,0,N,7,False,True,False,False,0,7,0,10,2,False,False,False,False,False,False,False,0,0,Correct,1
1BDTRD1,Y,BAD TURD,1,N,7,True,True,False,False,2,5,0,8,2,False,False,False,False,False,False,False,1,0,False Negative,1
MR1LB,N,MR 1 LB,0,N,5,True,True,False,False,1,4,0,7,3,False,False,False,False,False,False,False,0,0,Correct,1
CMEL8ER,N,CAMELEADER,0,N,7,True,True,False,False,1,6,0,10,1,False,False,False,False,False,False,False,0,0,Correct,1
D NARNAR,N,"D=DICK, NO CHEVY ON ANI",0,N,8,False,True,True,False,0,7,1,23,5,True,False,False,False,False,False,False,0,0,Correct,2
JR 69RS,N,NO 69 CAR ON RECORD,0,N,7,True,True,True,False,2,4,1,19,5,True,False,False,False,False,False,False,0,0,Correct,2
MACS 10,N,"MACS IS A TYPE OF VEHICLE, WHICH IS AN OLD TIN NUMBER",0,N,7,True,True,True,False,2,4,1,53,12,False,False,False,False,False,False,False,0,0,Correct,0
69 CUUGR,Y,COULDN'T VERIFY 1969 VEHICLE,1,N,8,True,True,True,False,2,5,1,28,4,True,False,False,False,False,False,False,1,0,False Negative,2
WEST OG,N,OG,0,N,7,False,True,True,False,0,6,1,2,1,False,False,True,False,False,False,False,0,0,Correct,5
BGREDII,Y,RED=GANG COLOR,1,N,7,False,True,False,False,0,7,0,14,2,False,False,True,False,False,False,False,1,0,False Negative,5
P TWN,N,P DOWN,0,N,5,False,True,True,False,0,4,1,6,2,False,False,False,False,False,False,False,0,0,Correct,1
TF CEO,N,TF=TOO FUCKING LARGE FOR A SMALL BUSINESS,0,N,6,False,True,True,False,0,5,1,41,7,True,False,False,False,False,False,False,0,0,Correct,2
DODO BBY,Y,DODO CAN BE ANOTHER WORD FOR VAGINA,1,N,8,False,True,True,False,0,7,1,35,7,True,False,False,False,False,False,False,1,0,False Negative,2
69 GROWL,Y,NO 69 CAR ON RECORD,1,N,8,True,True,True,False,2,5,1,19,5,True,False,False,False,False,False,False,1,0,False Negative,2
TERRI B,Y,STANDALONE B,1,N,7,False,True,True,False,0,6,1,12,2,False,False,False,False,False,False,False,1,0,False Negative,1
12FURY,Y,FURY,1,N,6,True,True,False,False,2,4,0,4,1,False,False,False,False,False,False,False,1,0,False Negative,1
HUF4RTD,N,HUSTLER FOR REALTOR,0,N,7,True,True,False,False,1,6,0,19,3,False,False,False,False,False,False,False,0,0,Correct,1
JDWAFU,N,WAFU=WIDE ASS FUCK YOU,0,N,6,False,True,False,False,0,6,0,22,4,True,False,False,False,False,False,False,0,0,Correct,2
SCHLAFR,N,SCHLAF=SHIT,0,N,7,False,True,False,False,0,7,0,11,1,False,False,False,False,False,False,False,0,0,Correct,1
BREZZZZ,Y,BREEZY,1,Y,7,False,True,False,False,0,7,0,6,1,False,False,False,False,False,False,False,1,1,Correct,1
IH8UALL,N,HOSTILE-HAT,0,N,7,True,True,False,False,1,6,0,11,1,False,False,False,False,False,False,False,0,0,Correct,1
STOOGTZ,N,GOOGLE SEARCH REVEALS AN OLD ENGINE WHICH IS GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE,0,N,7,False,True,False,False,0,7,0,205,31,False,False,True,False,False,False,False,0,0,Correct,7
FA18,N,18=hate symbol,0,N,4,True,True,False,False,2,2,0,14,2,False,True,False,False,False,False,False,0,0,Correct,0
DRTY RDR,N,DIRTY RIDER,0,N,8,False,True,True,False,0,7,1,11,2,False,False,False,False,False,False,False,0,0,Correct,1
G T M F,N,G T MOTHER FUCKER,0,N,7,False,True,True,False,0,4,3,17,4,True,False,False,False,False,False,False,0,0,Correct,2
TACO SD,N,TACO,0,Y,7,False,True,True,False,0,6,1,4,1,False,False,False,False,False,False,False,0,1,False Positive,1
P NE NP,Y,NP=NOT AVAILABLE ON QUICKWEB YET,1,N,7,False,True,True,False,0,5,2,32,5,False,False,False,False,False,False,False,1,0,False Negative,1
SS4 REL,N,SS FOR REL,0,N,7,True,True,True,False,1,5,1,10,3,False,False,False,False,False,False,False,0,0,Correct,1
